river,country,province
Rio Grande,BR,Minas Gerais
Tiete,BR,São Paulo
Paranapanema,BR,São Paulo
Iguacu,BR,Paraná
Paraguay,BR,Mato Grosso
Pilcomayo,BOL,Potosí
Rio Cuiabá,BR,Mato Grosso
Rio Salado,RA,Salta
Uruguay,BR,Rio Grande do Sul
Río Sali,RA,Salta
Río Colorado,RA,Mendoza
Río Colorado,RA,Neuquén
Río Salado del Oeste,RA,La Rioja
Río Neuquen,RA,Neuquén
Río Limay,RA,Neuquén
Río Limay,RA,Río Negro
Río Chubut,RA,Río Negro
Río Deseado,RA,Santa Cruz
Río Santa Cruz,RA,Santa Cruz
Rio Rimac,PE,Lima City
Rio Desaguadero,BOL,La Paz
Rio Loa,RCH,Antofagasta
Río Bío Bío,RCH,Araucanía
Río Baker,RCH,Aysén
Río Azopardo,RCH,Magallanes
Sebou,MA,Fes Boulemane
Moulouya,MA,Meknes Tafilalet
Chelif,DZ,Algeria
Rhumel,DZ,Algeria
Medjerda,DZ,Algeria
Senegal,RG,Guinea
Gambia,RG,Guinea
Rio Corubal,RG,Guinea
Rokel,SLE,Sierra Leone
Moa,RG,Guinea
Saint Paul River,RG,Guinea
Bandama,RMM,Sikasso
Comoé,BF,Burkina Faso
Volta,BF,Burkina Faso
Oti,BEN,Benin
Ouémé,BEN,Benin
Mono,BEN,Benin
Niger,RG,Guinea
Tinkisso,RG,Guinea
Bani,RMM,Koulikoro
Baoulé,CI,Denguélé
Bagoé,CI,Savanes
Sirba,BF,Burkina Faso
Mékrou,BEN,Benin
Sokoto,NGR,Katsina
Kaduna,NGR,Plateau
Benue,CAM,Nord
Gongola,NGR,Plateau
Yobe,NGR,Yobe
Hadejia,NGR,Katsina
Jamaare,NGR,Katsina
Mayo Kebbi,TCH,Chad
Logone,CAM,Adamaoua
Schari,RCA,Central African Republic
Nile,SUD,Al-Kharṭūm
Atbara,ETH,Amhara
Tekeze,ETH,Amhara
Mareb,ETH,Tigray
Blue Nile,ETH,Amhara
White Nile,SSD,South Sudan
Sobat,SSD,South Sudan
Pibor,SSD,South Sudan
Baro,ETH,Oromia
Bahr el-Djebel/Albert Nil,EAU,Northern
Bahr el-Ghazal,SSD,South Sudan
Semliki,CGO,Nord-Kivu
Victoria Nile,EAU,Central
Victoria Nile,EAU,Eastern
Kagera,RWA,Rwanda
Rukurara-Nyabarongo,RWA,Rwanda
Ruvuvu,BI,Burundi
Luvironza,BI,Burundi
Simiyu,EAT,Simiyu
