country,name,percentage
ER,Beja,3
ER,Kunama,2
ER,Rashaida Arab,2
CV,Mulatto,71
CV,African,28
CV,European,1
STP,African,100
SY,Seychellois,90
SY,Indian,6
COM,Arab-African,99
MYT,Arab-African,98
RM,Merina,26
RM,Betsimisaraka,14.9
RM,Tsimihety,6
RM,Sakalava,6
RM,European,0.1
RM,Comoran,0.1
RM,Indian,0.1
MS,Indo-Mauritian,62
MS,Mulatto,27
MS,Tamil,6
MS,Sino-Mauritian,3
MS,Franco-Mauritian,2
RE,Creoles,45
RE,European,25
RE,Tamil,14
RE,Telugu,7
RE,Indian,4
RE,Chinese,3
HELX,African,50
HELX,European,25
HELX,Chinese,25
GL,Inuit,88
GL,Danish,12
SPM,European,100
BM,African,52
BM,European,31
BM,Mulatto,9
BM,Asian,4
CDN,English,18
CDN,French,18
CDN,Scot,13
CDN,Irish,12
CDN,German,8
CDN,Chinese,7
CDN,Indian,5
CDN,Italian,4
CDN,Ukrainian,4
CDN,Dutch,4
CDN,Polish,3
CDN,Arab,1.2
CDN,Cree,1.2
CDN,Ojibwe,0.3
