country,organization,type
JA,Caricom,member
RH,Caricom,member
KN,Caricom,member
AG,Caricom,member
MNTS,Caricom,member
WD,Caricom,member
WL,Caricom,member
BDS,Caricom,member
WV,Caricom,member
WG,Caricom,member
TT,Caricom,member
GUY,Caricom,member
SME,Caricom,member
BM,Caricom,associate member
TUCA,Caricom,associate member
CYM,Caricom,associate member
BVI,Caricom,associate member
AXA,Caricom,associate member
MEX,Caricom,observer
DOM,Caricom,observer
PR,Caricom,observer
SX,Caricom,observer
CUR,Caricom,observer
ARU,Caricom,observer
YV,Caricom,observer
CO,Caricom,observer
MEX,CDB,regional member
BZ,CDB,regional member
BS,CDB,regional member
TUCA,CDB,regional member
CYM,CDB,regional member
JA,CDB,regional member
RH,CDB,regional member
BVI,CDB,regional member
AXA,CDB,regional member
KN,CDB,regional member
AG,CDB,regional member
MNTS,CDB,regional member
WD,CDB,regional member
WL,CDB,regional member
BDS,CDB,regional member
WV,CDB,regional member
WG,CDB,regional member
TT,CDB,regional member
YV,CDB,regional member
GUY,CDB,regional member
CO,CDB,regional member
D,CDB,nonregional member
I,CDB,nonregional member
GB,CDB,nonregional member
CN,CDB,nonregional member
CDN,CDB,nonregional member
F,BDEAC,member
KWT,BDEAC,member
LAR,BDEAC,member
TCH,BDEAC,member
RCA,BDEAC,member
CAM,BDEAC,member
GQ,BDEAC,member
G,BDEAC,member
RCB,BDEAC,member
GCA,BCIE,member
ES,BCIE,member
HN,BCIE,member
NIC,BCIE,member
CR,BCIE,member
E,BCIE,nonregional member
RC,BCIE,nonregional member
MEX,BCIE,nonregional member
PA,BCIE,nonregional member
DOM,BCIE,nonregional member
CO,BCIE,nonregional member
RA,BCIE,nonregional member
GCA,CACM,member
ES,CACM,member
HN,CACM,member
NIC,CACM,member
CR,CACM,member
BZ,SICA,member
GCA,SICA,member
ES,SICA,member
HN,SICA,member
NIC,SICA,member
CR,SICA,member
PA,SICA,member
DOM,SICA,associated member
F,SICA,observer
E,SICA,observer
D,SICA,observer
I,SICA,observer
V,SICA,observer
CN,SICA,observer
ROK,SICA,observer
J,SICA,observer
AUS,SICA,observer
USA,SICA,observer
MEX,SICA,observer
PE,SICA,observer
RCH,SICA,observer
RA,SICA,observer
BR,SICA,observer
AL,CEI,member
MK,CEI,member
SRB,CEI,member
MNE,CEI,member
CZ,CEI,member
SK,CEI,member
H,CEI,member
I,CEI,member
A,CEI,member
BY,CEI,member
PL,CEI,member
UA,CEI,member
SLO,CEI,member
HR,CEI,member
BIH,CEI,member
BG,CEI,member
RO,CEI,member
MD,CEI,member
BY,CSTO,member
R,CSTO,member
ARM,CSTO,member
UZ,CSTO,member
TJ,CSTO,member
KG,CSTO,member
KZ,CSTO,member
SA,CP,member
IR,CP,member
AFG,CP,member
MNG,CP,member
MV,CP,member
PK,CP,member
IND,CP,member
NEP,CP,member
BHT,CP,member
BD,CP,member
MYA,CP,member
CL,CP,member
ROK,CP,member
J,CP,member
RP,CP,member
VN,CP,member
LAO,CP,member
THA,CP,member
MAL,CP,member
BRU,CP,member
SGP,CP,member
RI,CP,member
PNG,CP,member
AUS,CP,member
NZ,CP,member
FJI,CP,member
USA,CP,member
ET,COMESA,member
LAR,COMESA,member
SUD,COMESA,member
CGO,COMESA,member
SD,COMESA,member
ZW,COMESA,member
Z,COMESA,member
MW,COMESA,member
BI,COMESA,member
RWA,COMESA,member
EAU,COMESA,member
EAK,COMESA,member
DJI,COMESA,member
ETH,COMESA,member
ER,COMESA,member
SY,COMESA,member
COM,COMESA,member
RM,COMESA,member
MS,COMESA,member
CY,C,member
M,C,member
GB,C,member
MV,C,member
PK,C,member
IND,C,member
BD,C,member
CL,C,member
MAL,C,member
BRU,C,member
SGP,C,member
PNG,C,member
SOL,C,member
VU,C,member
AUS,C,member
NZ,C,member
NAU,C,member
KIR,C,member
TUV,C,member
WS,C,member
FJI,C,member
TO,C,member
SLE,C,member
GH,C,member
NGR,C,member
CAM,C,member
NAM,C,member
RB,C,member
RSA,C,member
LS,C,member
SD,C,member
MOC,C,member
Z,C,member
MW,C,member
EAT,C,member
RWA,C,member
EAU,C,member
EAK,C,member
SY,C,member
MS,C,member
CDN,C,member
BZ,C,member
BS,C,member
JA,C,member
KN,C,member
AG,C,member
WD,C,member
WL,C,member
BDS,C,member
WV,C,member
WG,C,member
TT,C,member
GUY,C,member
BY,CIS,member
UA,CIS,member
R,CIS,member
MD,CIS,member
ARM,CIS,member
AZ,CIS,member
TM,CIS,member
UZ,CIS,member
TJ,CIS,member
KG,CIS,member
KZ,CIS,member
AL,CD,signatory
GR,CD,signatory
CY,CD,signatory
MK,CD,signatory
SRB,CD,signatory
MNE,CD,signatory
KOS,CD,signatory
E,CD,signatory
CZ,CD,signatory
SK,CD,signatory
D,CD,signatory
H,CD,signatory
I,CD,signatory
CH,CD,signatory
FL,CD,signatory
A,CD,signatory
EST,CD,signatory
LV,CD,signatory
LT,CD,signatory
PL,CD,signatory
UA,CD,signatory
R,CD,signatory
B,CD,signatory
L,CD,signatory
NL,CD,signatory
SLO,CD,signatory
HR,CD,signatory
BIH,CD,signatory
BG,CD,signatory
RO,CD,signatory
DK,CD,signatory
IS,CD,signatory
IRL,CD,signatory
SF,CD,signatory
N,CD,signatory
S,CD,signatory
MC,CD,signatory
M,CD,signatory
MD,CD,signatory
P,CD,signatory
GB,CD,signatory
ARM,CD,signatory
GE,CD,signatory
AZ,CD,signatory
TR,CD,signatory
IL,CD,signatory
JOR,CD,signatory
Q,CD,signatory
YE,CD,signatory
KWT,CD,signatory
MNG,CD,signatory
IND,CD,signatory
NEP,CD,signatory
BD,CD,signatory
CL,CD,signatory
ROK,CD,signatory
J,CD,signatory
RP,CD,signatory
THA,CD,signatory
RI,CD,signatory
PNG,CD,signatory
AUS,CD,signatory
NZ,CD,signatory
ET,CD,signatory
TN,CD,signatory
DZ,CD,signatory
MA,CD,signatory
RMM,CD,signatory
SN,CD,signatory
BF,CD,signatory
BEN,CD,signatory
NGR,CD,signatory
RN,CD,signatory
NAM,CD,signatory
RB,CD,signatory
RSA,CD,signatory
LS,CD,signatory
MOC,CD,signatory
MW,CD,signatory
EAT,CD,signatory
EAK,CD,signatory
CV,CD,signatory
STP,CD,signatory
SY,CD,signatory
RM,CD,signatory
MS,CD,signatory
CDN,CD,signatory
USA,CD,signatory
MEX,CD,signatory
BZ,CD,signatory
GCA,CD,signatory
ES,CD,signatory
HN,CD,signatory
NIC,CD,signatory
CR,CD,signatory
PA,CD,signatory
RH,CD,signatory
DOM,CD,signatory
WD,CD,signatory
WL,CD,signatory
YV,CD,signatory
GUY,CD,signatory
SME,CD,signatory
CO,CD,signatory
EC,CD,signatory
PE,CD,signatory
BOL,CD,signatory
RCH,CD,signatory
RA,CD,signatory
PY,CD,signatory
ROU,CD,signatory
BR,CD,signatory
MEX,CELAC,member
BZ,CELAC,member
GCA,CELAC,member
ES,CELAC,member
HN,CELAC,member
NIC,CELAC,member
CR,CELAC,member
PA,CELAC,member
BS,CELAC,member
C,CELAC,member
JA,CELAC,member
RH,CELAC,member
DOM,CELAC,member
KN,CELAC,member
AG,CELAC,member
WD,CELAC,member
WL,CELAC,member
BDS,CELAC,member
WV,CELAC,member
WG,CELAC,member
TT,CELAC,member
YV,CELAC,member
GUY,CELAC,member
SME,CELAC,member
CO,CELAC,member
EC,CELAC,member
PE,CELAC,member
BOL,CELAC,member
RCH,CELAC,member
RA,CELAC,member
PY,CELAC,member
ROU,CELAC,member
BR,CELAC,member
P,CPLP,member
TL,CPLP,member
GUB,CPLP,member
ANG,CPLP,member
MOC,CPLP,member
CV,CPLP,member
STP,CPLP,member
BR,CPLP,member
SN,CPLP,associate observer
GQ,CPLP,associate observer
MS,CPLP,associate observer
R,CICA,member
AZ,CICA,member
TR,CICA,member
IL,CICA,member
JOR,CICA,member
BRN,CICA,member
UAE,CICA,member
IRQ,CICA,member
IR,CICA,member
AFG,CICA,member
UZ,CICA,member
TJ,CICA,member
KG,CICA,member
KZ,CICA,member
MNG,CICA,member
PK,CICA,member
IND,CICA,member
CN,CICA,member
ROK,CICA,member
VN,CICA,member
K,CICA,member
THA,CICA,member
ET,CICA,member
UA,CICA,observer
Q,CICA,observer
BD,CICA,observer
CL,CICA,observer
J,CICA,observer
RP,CICA,observer
MAL,CICA,observer
RI,CICA,observer
USA,CICA,observer
RL,CAEU,member
SYR,CAEU,member
JOR,CAEU,member
SA,CAEU,member
BRN,CAEU,member
Q,CAEU,member
UAE,CAEU,member
OM,CAEU,member
YE,CAEU,member
KWT,CAEU,member
IRQ,CAEU,member
ET,CAEU,member
LAR,CAEU,member
TN,CAEU,member
DZ,CAEU,member
MA,CAEU,member
SUD,CAEU,member
RIM,CAEU,candidate
SO,CAEU,candidate
DJI,CAEU,candidate
COM,CAEU,candidate
AL,SELEC,member
GR,SELEC,member
MK,SELEC,member
SRB,SELEC,member
MNE,SELEC,member
H,SELEC,member
SLO,SELEC,member
HR,SELEC,member
BIH,SELEC,member
BG,SELEC,member
RO,SELEC,member
MD,SELEC,member
TR,SELEC,member
F,SELEC,observer
E,SELEC,observer
D,SELEC,observer
I,SELEC,observer
A,SELEC,observer
UA,SELEC,observer
B,SELEC,observer
NL,SELEC,observer
P,SELEC,observer
GB,SELEC,observer
GE,SELEC,observer
AZ,SELEC,observer
J,SELEC,observer
CDN,SELEC,observer
USA,SELEC,observer
AL,CE,member
GR,CE,member
CY,CE,member
MK,CE,member
SRB,CE,member
MNE,CE,member
AND,CE,member
F,CE,member
E,CE,member
CZ,CE,member
SK,CE,member
D,CE,member
H,CE,member
I,CE,member
CH,CE,member
FL,CE,member
A,CE,member
EST,CE,member
LV,CE,member
LT,CE,member
PL,CE,member
UA,CE,member
R,CE,member
B,CE,member
L,CE,member
NL,CE,member
SLO,CE,member
HR,CE,member
BIH,CE,member
BG,CE,member
RO,CE,member
DK,CE,member
IS,CE,member
IRL,CE,member
SF,CE,member
N,CE,member
S,CE,member
MC,CE,member
RSM,CE,member
M,CE,member
MD,CE,member
P,CE,member
GB,CE,member
ARM,CE,member
GE,CE,member
AZ,CE,member
TR,CE,member
V,CE,observer
IL,CE,observer
J,CE,observer
CDN,CE,observer
USA,CE,observer
MEX,CE,observer
D,CBSS,member
EST,CBSS,member
LV,CBSS,member
LT,CBSS,member
PL,CBSS,member
R,CBSS,member
DK,CBSS,member
IS,CBSS,member
SF,CBSS,member
N,CBSS,member
S,CBSS,member
F,CBSS,observer
E,CBSS,observer
SK,CBSS,observer
I,CBSS,observer
BY,CBSS,observer
UA,CBSS,observer
NL,CBSS,observer
RO,CBSS,observer
GB,CBSS,observer
USA,CBSS,observer
BF,Entente,member
CI,Entente,member
RT,Entente,member
BEN,Entente,member
RN,Entente,member
TR,D-8,member
IR,D-8,member
PK,D-8,member
BD,D-8,member
MAL,D-8,member
RI,D-8,member
ET,D-8,member
NGR,D-8,member
EAT,EAC,member
BI,EAC,member
RWA,EAC,member
EAU,EAC,member
EAK,EAC,member
EAT,EADB,member
RWA,EADB,member
EAU,EADB,member
EAK,EADB,member
R,EAS,member
IND,EAS,member
MYA,EAS,member
CN,EAS,member
ROK,EAS,member
J,EAS,member
RP,EAS,member
VN,EAS,member
K,EAS,member
LAO,EAS,member
THA,EAS,member
MAL,EAS,member
BRU,EAS,member
SGP,EAS,member
RI,EAS,member
AUS,EAS,member
NZ,EAS,member
USA,EAS,member
WAG,CEMAC,member
TCH,CEMAC,member
RCA,CEMAC,member
CAM,CEMAC,member
GQ,CEMAC,member
G,CEMAC,member
CGO,CEMAC,member
GR,EMU,member
CY,EMU,member
F,EMU,member
E,EMU,member
SK,EMU,member
D,EMU,member
I,EMU,member
A,EMU,member
EST,EMU,member
LV,EMU,member
B,EMU,member
L,EMU,member
NL,EMU,member
SLO,EMU,member
IRL,EMU,member
SF,EMU,member
M,EMU,member
P,EMU,member
CGO,CEPGL,member
BI,CEPGL,member
RWA,CEPGL,member
RMM,ECOWAS,member
SN,ECOWAS,member
WAG,ECOWAS,member
GUB,ECOWAS,member
RG,ECOWAS,member
SLE,ECOWAS,member
LB,ECOWAS,member
BF,ECOWAS,member
CI,ECOWAS,member
GH,ECOWAS,member
RT,ECOWAS,member
BEN,ECOWAS,member
NGR,ECOWAS,member
RN,ECOWAS,member
CV,ECOWAS,member
AZ,ECO,member
TR,ECO,member
IR,ECO,member
AFG,ECO,member
TM,ECO,member
UZ,ECO,member
TJ,ECO,member
KG,ECO,member
KZ,ECO,member
PK,ECO,member
BY,EurasEC,member
R,EurasEC,member
UZ,EurasEC,member
TJ,EurasEC,member
KG,EurasEC,member
KZ,EurasEC,member
UA,EurasEC,observer
MD,EurasEC,observer
ARM,EurasEC,observer
AL,EAPC,member
GR,EAPC,member
MK,EAPC,member
SRB,EAPC,member
MNE,EAPC,member
F,EAPC,member
E,EAPC,member
CZ,EAPC,member
SK,EAPC,member
D,EAPC,member
H,EAPC,member
I,EAPC,member
CH,EAPC,member
A,EAPC,member
EST,EAPC,member
LV,EAPC,member
LT,EAPC,member
BY,EAPC,member
PL,EAPC,member
UA,EAPC,member
R,EAPC,member
B,EAPC,member
L,EAPC,member
NL,EAPC,member
SLO,EAPC,member
HR,EAPC,member
BIH,EAPC,member
BG,EAPC,member
RO,EAPC,member
DK,EAPC,member
IS,EAPC,member
IRL,EAPC,member
SF,EAPC,member
N,EAPC,member
S,EAPC,member
M,EAPC,member
MD,EAPC,member
P,EAPC,member
GB,EAPC,member
ARM,EAPC,member
GE,EAPC,member
AZ,EAPC,member
TR,EAPC,member
TM,EAPC,member
