iatacode,name,country,city,province,latitude,longitude,elevation,gmtoffset
TZX,Trabzon,TR,Trabzon,Trabzon,40.995108,39.789728,32,3
IST,Atatürk,TR,İstanbul,İstanbul,40.976922,28.814606,50,3
SAW,Sabiha Gokcen,TR,İstanbul,İstanbul,40.898553,29.309219,95,3
GZT,Oguzeli,TR,Gaziantep,Gaziantep,36.947183,37.478683,706,3
HTY,Hatay Airport,TR,Hatay,Hatay,36.362778,36.282222,8,3
AJI,Agri Airport,TR,Agri,Ağrı,39.6546,43.0271,1665,3
AOE,Anadolu Airport,TR,Eskisehir,Eskişehir,39.809858,30.519378,789,3
MQM,Mardin Airport,TR,Mardin,Mardin,37.2233,40.6317,527,3
DNZ,Cardak,TR,Denizli,Denizli,37.785567,29.701297,852,3
MSR,Mus Airport,TR,Mus,Muş,38.747769,41.661236,1267,2
ASB,Ashgabat,TM,Ashgabat,Ashgabat,37.986814,58.360967,211,5
PLS,Providenciales,TUCA,Grand Turk,Turks and Caicos Islands,21.773625,-72.265886,5,-5
FUN,Funafuti International,TUV,Funafuti,Tuvalu,-8.525,179.196389,3,12
EBB,Entebbe Intl,EAU,Kampala,Central,0.042386,32.443503,1153,3
DOK,Donetsk Intl,UA,Donetsk,Donetska,48.073611,37.739722,241,2
KBP,Boryspil Intl,UA,Kyïv,Kyïv,50.345,30.894722,130,2
HRK,Osnova International Airport,UA,Charkiv,Charkivska,49.924786,36.289986,155,2
IEV,Zhuliany Intl,UA,Kyïv,Kyïv,50.401694,30.449697,179,2
SIP,Simferopol Intl,UA,Simferopol,Krym,45.052222,33.975139,195,2
UDJ,Uzhhorod International Airport,UA,Uzhhorod,Zakarpatska,48.634278,22.263356,117,2
DNK,Dnipropetrovsk Intl,UA,Dnipro,Dnipropetrovska,48.357222,35.100556,147,2
IFO,Ivano Frankivsk International Airport,UA,Ivano-Frankivsk,Ivano-Frankivska,48.884167,24.686111,280,2
ODS,Odesa Intl,UA,Odesa,Odeska,46.426767,30.676464,52,2
LWO,Lviv Intl,UA,Lviv,Lvivska,49.8125,23.956111,327,2
AUH,Abu Dhabi Intl,UAE,Abu Dhabi,United Arab Emirates,24.432972,54.651138,27,4
AAN,Al Ain International Airport,UAE,Al Ain,United Arab Emirates,24.261667,55.609167,265,4
DXB,Dubai Intl,UAE,Dubai,United Arab Emirates,25.252778,55.364444,19,4
SHJ,Sharjah Intl,UAE,Al Sharjah,United Arab Emirates,25.328575,55.51715,34,4
STN,Stansted,GB,London,London,51.885,0.235,106,0
LBA,Leeds Bradford,GB,Leeds,Yorkshire and the Humber,53.865897,-1.660569,208,0
LCY,City,GB,London,London,51.505278,0.055278,6,0
LGW,Gatwick,GB,London,London,51.148056,-0.190278,62,0
LHR,Heathrow,GB,London,London,51.4775,-0.461389,25,0
LPL,Liverpool,GB,Liverpool,North West England,53.333611,-2.849722,24,0
BHX,Birmingham,GB,Birmingham,West Midlands,52.453856,-1.748028,100,0
TRE,Tiree,GB,,,56.499167,-6.869167,12,0
BLK,Blackpool,GB,Blackpool,North West England,53.771667,-3.028611,10,0
BEB,Benbecula,GB,,,57.481111,-7.362778,6,0
ABZ,Dyce,GB,Aberdeen,Scotland,57.201944,-2.197778,66,0
BFS,Aldergrove,GB,Belfast,Northern Ireland,54.6575,-6.215833,82,0
BHD,City,GB,Belfast,Northern Ireland,54.618056,-5.8725,5,0
EXT,Exeter,GB,Exeter,South West England,50.734444,-3.413889,31,0
NCL,Newcastle,GB,Newcastle upon Tyne,North East England,55.0375,-1.691667,81,0
EMA,Nottingham East Midlands,GB,Nottingham,East Midlands,52.831111,-1.328056,93,0
NWI,Norwich,GB,Norwich,East of England,52.675833,1.282778,36,0
BOH,Bournemouth,GB,Bournemouth,South West England,50.78,-1.8425,12,0
DND,Dundee,GB,Dundee,Scotland,56.452499,-3.025833,5,0
DSA,Robin Hood Doncaster Sheffield Airport,GB,Sheffield,Yorkshire and the Humber,53.474722,-1.004444,17,0
MME,Durham Tees Valley Airport,GB,Middlesbrough,North East England,54.509189,-1.429406,37,0
MAN,Manchester,GB,Manchester,North West England,53.353744,-2.27495,78,0
EDI,Edinburgh,GB,Edinburgh,Scotland,55.95,-3.3725,41,0
SOU,Southampton,GB,Southampton,South East England,50.950261,-1.356803,13,0
LTN,Luton,GB,Luton,East of England,51.874722,-0.368333,160,0
BRR,Barra Airport,GB,,,57.0228,-7.44306,2,0
BRS,Bristol,GB,Bristol,South West England,51.382669,-2.719089,190,0
HUY,Humberside,GB,Kingston upon Hull,Yorkshire and the Humber,53.574444,-0.350833,37,0
ILY,Islay,GB,,,55.681944,-6.256667,17,0
GLO,Gloucestershire,GB,Gloucester,South West England,51.894167,-2.167222,31,0
GLA,Glasgow,GB,Glasgow,Scotland,55.871944,-4.433056,8,0
SEN,Southend,GB,Southend-on-Sea,East of England,51.571389,0.695556,15,0
CWL,Cardiff,GB,Cardiff,Wales,51.396667,-3.343333,67,0
KOI,Kirkwall,GB,Kirkwall,Scotland,58.957778,-2.905,15,0
LRD,Laredo Intl,USA,Laredo,Texas,27.54375,-99.461556,155,-6
CMH,Port Columbus Intl,USA,Columbus,Ohio,39.997972,-82.891889,248,-5
DSM,Des Moines Intl,USA,Des Moines,Iowa,41.533972,-93.663083,292,-6
DTW,Detroit Metro Wayne Co,USA,Detroit,Michigan,42.212444,-83.353389,197,-5
MSY,Louis Armstrong New Orleans Intl,USA,New Orleans,Louisiana,29.993389,-90.258028,1,-6
MSP,Minneapolis St Paul Intl,USA,Minneapolis,Minnesota,44.881956,-93.221767,256,-6
MSN,Dane Co Rgnl Truax Fld,USA,Madison,Wisconsin,43.139858,-89.337514,270,-6
FAR,Hector International Airport,USA,Fargo,North Dakota,46.92065,-96.8157639,275,-6
FAT,Fresno Yosemite Intl,USA,Fresno,California,36.776194,-119.71814,102,-8
ELP,El Paso Intl,USA,El Paso,Texas,31.80725,-106.377583,1207,-7
