river,country,province
Drau,A,Kärnten
Drau,A,Tirol
Drau,SLO,Slovenia
Drau,HR,Croatia
Gail,A,Kärnten
Gail,A,Tirol
Mur,H,Zala
Mur,A,Steiermark
Mur,A,Salzburg
Mur,SLO,Slovenia
Mur,HR,Croatia
Tisza,SRB,Serbia
Tisza,SK,Košický
Tisza,H,Borsod-Abaúj-Zemplén
Tisza,H,Csongrád
Tisza,H,Hajdú-Bihar
Tisza,H,Heves
Tisza,H,Szabolcs-Szatmár-Bereg
Tisza,H,Jász-Nagykun-Szolnok
Tisza,UA,Cernivecka
Tisza,RO,Maramureş
Somes,H,Szabolcs-Szatmár-Bereg
Somes,RO,Bihor
Somes,RO,Cluj
Somes,RO,Maramureş
Somes,RO,Satu-Mare
Sajó,SK,Banskobystrický
Sajó,SK,Košický
Sajó,H,Borsod-Abaúj-Zemplén
Hernad,SK,Košický
Hernad,H,Borsod-Abaúj-Zemplén
Torysa,SK,Košický
Torysa,SK,Prešovský
Mureș,H,Csongrád
Mureș,RO,Alba
Mureș,RO,Arad
Mureș,RO,Harghita
Mureș,RO,Hunedoara
Mureș,RO,Mureş
Argeș,RO,Argeş
Argeș,RO,Călăraşi
Argeș,RO,Dâmboviţa
Argeș,RO,Giurgiu
Argeș,RO,Ilfov
Dâmbovița,RO,Argeş
Dâmbovița,RO,Bucureşti
Dâmbovița,RO,Călăraşi
Dâmbovița,RO,Dâmboviţa
Dâmbovița,RO,Ilfov
Ialomița,RO,Dâmboviţa
Ialomița,RO,Ialomiţa
Ialomița,RO,Prahova
Ialomița,RO,Ilfov
Save,SRB,Serbia
Save,SLO,Slovenia
Save,HR,Croatia
Save,BIH,Federacija Bosne i Hercegovine
Save,BIH,Republika Srpska
Save,BIH,Brčko
Bosna,BIH,Federacija Bosne i Hercegovine
Bosna,BIH,Republika Srpska
Drina,SRB,Serbia
Drina,BIH,Federacija Bosne i Hercegovine
Drina,BIH,Republika Srpska
Tara,MNE,Montenegro
Tara,BIH,Republika Srpska
Piva,MNE,Montenegro
Piva,BIH,Republika Srpska
Morava,SRB,Serbia
Southern Morava,MK,North Macedonia
Southern Morava,SRB,Serbia
Southern Morava,KOS,Kosovo
Zapadna Morava,SRB,Serbia
Ibar,SRB,Serbia
Ibar,MNE,Montenegro
Ibar,KOS,Kosovo
Iskar,BG,Bulgaria
Ossam,BG,Bulgaria
Timiş,SRB,Serbia
Timiş,RO,Caraş-Severin
Timiş,RO,Timiş
Jiu,RO,Dolj
Jiu,RO,Gorj
Jiu,RO,Hunedoara
Jiu,RO,Mehedinţi
Olt,RO,Braşov
Olt,RO,Covasna
Olt,RO,Harghita
Olt,RO,Olt
Olt,RO,Sibiu
Olt,RO,Teleorman
Olt,RO,Vâlcea
Siret,UA,Cernivecka
Siret,RO,Bacău
Siret,RO,Botoşani
Siret,RO,Galaţi
Siret,RO,Iaşi
Siret,RO,Neamţ
Siret,RO,Suceava
Siret,RO,Vrancea
Pruth,UA,Cernivecka
Pruth,UA,Ivano-Frankivska
Pruth,RO,Botoşani
Pruth,RO,Galaţi
Pruth,RO,Iaşi
Pruth,RO,Vaslui
Pruth,MD,Moldova
Moraca,MNE,Montenegro
Neretva,HR,Croatia
Neretva,BIH,Federacija Bosne i Hercegovine
Neretva,BIH,Republika Srpska
Buna,AL,Albania
Buna,MNE,Montenegro
Drin,AL,Albania
White Drin,AL,Albania
White Drin,KOS,Kosovo
Black Drin,AL,Albania
Black Drin,MK,North Macedonia
Vjosa,AL,Albania
Vjosa,GR,Ipeiroy
Acheloos,GR,Dytikis Elladas
Acheloos,GR,Ipeiroy
Acheloos,GR,Thessalias
Aliakmonas,GR,Dytikis Makedonias
Aliakmonas,GR,Kentrikis Makedonias
Vardar,GR,Kentrikis Makedonias
Vardar,MK,North Macedonia
Struma,GR,Kentrikis Makedonias
Struma,BG,Bulgaria
Maritsa,GR,Anatolikis Makedonias kai Thrakis
Maritsa,BG,Bulgaria
Maritsa,TR,Edirne
Tundzha,BG,Bulgaria
Tundzha,TR,Edirne
Nachal HaKishon,IL,Hefa
Nachal HaKishon,IL,HaZafon
Nachal Sorek,WB,West Bank
Nachal Sorek,IL,Yerushalayim
Nachal Sorek,IL,HaMerkaz
Nachal HaBesor,GAZA,Gaza Strip
Nachal HaBesor,IL,HaDarom
Jordan,RL,Lebanon
Jordan,WB,West Bank
Jordan,IL,HaZafon
Jordan,SYR,Al Qunaytirah
Jordan,JOR,Jordan
Litani,RL,Lebanon
Orontes,TR,Hatay
Orontes,RL,Lebanon
Orontes,SYR,Hamah
Orontes,SYR,Hims
Orontes,SYR,Idlib
Seyhan,TR,Adana
Seyhan,TR,Mersin
Seyhan,TR,Kayseri
Sakarya,TR,Afyonkarahisar
Sakarya,TR,Ankara
Sakarya,TR,Bilecik
Sakarya,TR,Eskişehir
Sakarya,TR,Konya
Sakarya,TR,Sakarya
Kızılırmak,TR,Ankara
Kızılırmak,TR,Çankırı
Kızılırmak,TR,Çorum
Kızılırmak,TR,Kayseri
Kızılırmak,TR,Kırıkkale
Kızılırmak,TR,Kırşehir
Kızılırmak,TR,Nevşehir
Kızılırmak,TR,Samsun
Kızılırmak,TR,Sinop
Kızılırmak,TR,Sivas
Rioni,GE,Georgia
Terek,R,Dagestan
Terek,R,Kabardino-Balkarskaya
Terek,R,North Ossetia-Alania
Terek,R,Chechenskaya
Terek,GE,Georgia
Samur,R,Dagestan
Samur,AZ,Azerbaijan
Kura,GE,Georgia
Kura,AZ,Azerbaijan
Kura,TR,Kars
Kura,TR,Ardahan
Aras,ARM,Armenia
Aras,AZ,Azerbaijan
Aras,TR,Erzurum
Aras,TR,Kars
Aras,TR,Iğdır
Aras,IR,West Azarbayejan
Aras,IR,East Azarbayejan
Aras,IR,Ardebil
Hrazdan,ARM,Armenia
Schatt al Arab,IRQ,Basrah
Schatt al Arab,IR,Khuzestan
Tigris,TR,Batman
Tigris,TR,Diyarbakır
Tigris,TR,Mardin
Tigris,TR,Siirt
Tigris,TR,Şırnak
Tigris,SYR,Al Hasakah
Tigris,IRQ,Babylon
Tigris,IRQ,Baghdad
Tigris,IRQ,Basrah
Tigris,IRQ,Maysan
Tigris,IRQ,Nineveh
